Abbreviation,Significato
year,stagione del torneo
lgID,nome della lega
franchID,nome squadra 3 cifre
confID,Conference di appartenenza della squadra
divID,Division di appartenenza della squadra
rank,classifica fine stagione regolare nella division
confRank,classifica fine stagione regolare nella conference
playoff,qualifica ai playoff (come da legenda)
name,nome squadra
o_,offensive
d_,defensive
fgm,tiri realizzati su azione
fga,tiri tentati su azione
ftm,tiri liberi realizzati
fta,tiri liberi tentati
3pm,tiri da 3 realizzati
3pa,tiri da 3 tentati
oreb,rimbalzi offensivi
dreb,rimbalzi difensivi
reb,rimbalzi totali (offensivi + difensivi)
asts,assists
pf,falli commessi
stl,palle recuperate
to,palle perse
blk,palle stoppate
tmRebound,rimbalzi di squadra
homeWon,vittore in casa
homeLost,sconfitte in casa
awayWon,vittorie in trasferta
awayLost,sconfitte in trasferta
neutWon,vittorie in campo neutro
neutLoss,sconfitte in campo neutro
confWon,vittorie contro squadre della stessa conference
confLoss,sconfitte contro squadre della stessa conference
divWon,vittorie con squadre stessa division
divLoss,sconfitte con squadre stessa division
won,vittorie totali
lost,sconfitte totali
games,partite giocate totali in stagione (won + lost)
min,minuti giocati in stagione
arena,nome stadio
attendance,numero spettatori
